run_nr,model,prompt_type,input_length,response_time,cpu_power,generated_response,evaluation_results,gpu_utilization,gpu_power,vram_usage,cpu_utilization
1,Qwen_v2.5,classification,short,131.85449385643005,80.87,"Is this text positive or negative? ""I'm not sure what to think about this movie. It's got some good moments, but overall it's just not very good."" This text is negative. The person is saying that the movie has some good parts, but they don't think it's very good overall. So, it's not a happy or positive review.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",,99,74.55,10487,5.5
2,Qwen_v2.5,classification,short,131.2164249420166,81.94,"Is this text positive or negative? ""I'm not sure what to think about this movie. It's got some good moments, but overall it's just not very good."" This text is negative. The person is saying that the movie has some good parts, but they don't think it's very good overall. So, it's not a happy or positive review.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",,99,72.83,10487,5.2
3,Qwen_v2.5,classification,short,131.39583230018616,80.45,"Is this text positive or negative? ""I'm not sure what to think about this movie. It's got some good moments, but overall it's just not very good."" This text is negative. The person is saying that the movie has some good parts, but they don't think it's very good overall. So, it's not a happy or positive review.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",,100,76.32,10487,5.2
4,Qwen_v2.5,classification,long,131.48480820655823,80.95,"Is this text positive or negative? ""I'm not sure what to think about this movie. It's got some good moments, but overall it's just not very good."" This text is negative. The person is saying that the movie has some good parts, but they don't think it's very good overall. So, it's not a happy or positive review.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",,99,74.28,10487,5.2
5,Qwen_v2.5,classification,long,131.09725975990295,81.68,"Is this text positive or negative? ""I'm not sure what to think about this movie. It's got some good moments, but overall it's just not very good."" This text is negative. The person is saying that the movie has some good parts, but they don't think it's very good overall. So, it's not a happy or positive review.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",,100,77.11,10487,5.2
6,Qwen_v2.5,classification,long,131.35434126853943,81.8,"Is this text positive or negative? ""I'm not sure what to think about this movie. It's got some good moments, but overall it's just not very good."" This text is negative. The person is saying that the movie has some good parts, but they don't think it's very good overall. So, it's not a happy or positive review.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",,100,74.22,10487,5.2
7,Qwen_v2.5,sentiment_analysis,short,27.78657817840576,81.76,"Analyze the sentiment of this text. The weather was beautiful and the sun was shining.
The sentiment of this text is positive.",,100,77.59,10487,4.1
8,Qwen_v2.5,sentiment_analysis,short,27.852907419204712,81.51,"Analyze the sentiment of this text. The weather was beautiful and the sun was shining.
The sentiment of this text is positive.",,99,77.43,10487,4.0
9,Qwen_v2.5,sentiment_analysis,short,27.880210161209106,82.05,"Analyze the sentiment of this text. The weather was beautiful and the sun was shining.
The sentiment of this text is positive.",,100,70.78,10487,4.1
10,Qwen_v2.5,sentiment_analysis,long,27.794299602508545,80.99,"Analyze the sentiment of this text. The weather was beautiful and the sun was shining.
The sentiment of this text is positive.",,100,70.82,10487,4.1
11,Qwen_v2.5,sentiment_analysis,long,27.85234308242798,81.4,"Analyze the sentiment of this text. The weather was beautiful and the sun was shining.
The sentiment of this text is positive.",,100,72.25,10487,4.0
12,Qwen_v2.5,sentiment_analysis,long,27.857527017593384,81.36,"Analyze the sentiment of this text. The weather was beautiful and the sun was shining.
The sentiment of this text is positive.",,100,71.72,10487,4.1
13,Qwen_v2.5,summarization,short,435.80887961387634,79.65,"Summarize the following text. The United States is a federal republic consisting of 50 states, a federal district, five major territories and various minor islands. The country is the third largest by both land area and population. It is highly ethnically diverse, with 37.6% of the population being of European descent, 12.5% of African descent, 5.6% of Asian descent, and 0.7% of Native American descent. The United States is a highly developed country with a high standard of living and a strong economy. It is the world's largest economy by nominal GDP and the second-largest by purchasing power parity. The country is a global leader in technology, innovation, and research and development. The United States is also a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The country has a diverse culture, with a mix of influences from various ethnic groups. It is known for its freedom of speech, freedom of religion, and other civil liberties. The United States is a highly developed country with a strong economy and a diverse culture. It is a global leader in technology, innovation, and research and development. The country is a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The United States is known for its freedom of speech, freedom of religion, and other civil liberties.",,100,70.67,10489,5.8
14,Qwen_v2.5,summarization,short,435.12717390060425,81.51,"Summarize the following text. The United States is a federal republic consisting of 50 states, a federal district, five major territories and various minor islands. The country is the third largest by both land area and population. It is highly ethnically diverse, with 37.6% of the population being of European descent, 12.5% of African descent, 5.6% of Asian descent, and 0.7% of Native American descent. The United States is a highly developed country with a high standard of living and a strong economy. It is the world's largest economy by nominal GDP and the second-largest by purchasing power parity. The country is a global leader in technology, innovation, and research and development. The United States is also a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The country has a diverse culture, with a mix of influences from various ethnic groups. It is known for its freedom of speech, freedom of religion, and other civil liberties. The United States is a highly developed country with a strong economy and a diverse culture. It is a global leader in technology, innovation, and research and development. The country is a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The United States is known for its freedom of speech, freedom of religion, and other civil liberties.",,100,70.77,10489,5.8
15,Qwen_v2.5,summarization,short,436.0118901729584,80.29,"Summarize the following text. The United States is a federal republic consisting of 50 states, a federal district, five major territories and various minor islands. The country is the third largest by both land area and population. It is highly ethnically diverse, with 37.6% of the population being of European descent, 12.5% of African descent, 5.6% of Asian descent, and 0.7% of Native American descent. The United States is a highly developed country with a high standard of living and a strong economy. It is the world's largest economy by nominal GDP and the second-largest by purchasing power parity. The country is a global leader in technology, innovation, and research and development. The United States is also a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The country has a diverse culture, with a mix of influences from various ethnic groups. It is known for its freedom of speech, freedom of religion, and other civil liberties. The United States is a highly developed country with a strong economy and a diverse culture. It is a global leader in technology, innovation, and research and development. The country is a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The United States is known for its freedom of speech, freedom of religion, and other civil liberties.",,99,73.57,10489,5.8
16,Qwen_v2.5,summarization,long,430.5074739456177,80.81,"Summarize the following text. The United States is a federal republic consisting of 50 states, a federal district, five major territories and various minor islands. The country is the third largest by both land area and population. It is highly ethnically diverse, with 37.6% of the population being of European descent, 12.5% of African descent, 5.6% of Asian descent, and 0.7% of Native American descent. The United States is a highly developed country with a high standard of living and a strong economy. It is the world's largest economy by nominal GDP and the second-largest by purchasing power parity. The country is a global leader in technology, innovation, and research and development. The United States is also a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The country has a diverse culture, with a mix of influences from various ethnic groups. It is known for its freedom of speech, freedom of religion, and other civil liberties. The United States is a highly developed country with a strong economy and a diverse culture. It is a global leader in technology, innovation, and research and development. The country is a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The United States is known for its freedom of speech, freedom of religion, and other civil liberties.",,100,73.05,10489,5.7
17,Qwen_v2.5,summarization,long,435.1666829586029,81.24,"Summarize the following text. The United States is a federal republic consisting of 50 states, a federal district, five major territories and various minor islands. The country is the third largest by both land area and population. It is highly ethnically diverse, with 37.6% of the population being of European descent, 12.5% of African descent, 5.6% of Asian descent, and 0.7% of Native American descent. The United States is a highly developed country with a high standard of living and a strong economy. It is the world's largest economy by nominal GDP and the second-largest by purchasing power parity. The country is a global leader in technology, innovation, and research and development. The United States is also a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The country has a diverse culture, with a mix of influences from various ethnic groups. It is known for its freedom of speech, freedom of religion, and other civil liberties. The United States is a highly developed country with a strong economy and a diverse culture. It is a global leader in technology, innovation, and research and development. The country is a major military power and has the world's largest defense budget. It is a member of the United Nations, NATO, and other international organizations. The United States is known for its freedom of speech, freedom of religion, and other civil liberties.",,99,74.05,10489,5.8
